NDVI,GNDVI,NDRE,DryYield
0.64924,0.76534,0.52972,360.278
0.63298,0.7595,0.53058,363.5884
0.64892,0.76282,0.53524,355.7209
0.64622,0.76824,0.53917,342.2978
0.64622,0.76824,0.53917,340.5817
0.64833,0.76652,0.53818,345.7627
0.65244,0.76678,0.53591,375.7103
0.64176,0.77167,0.54368,369.1599
0.64176,0.77167,0.54368,350.3983
0.64504,0.766,0.54761,379.3973
0.65029,0.77002,0.53645,506.6556
0.66667,0.7762,0.54361,337.1325
0.66667,0.7762,0.54361,372.3807
0.64723,0.76303,0.52784,358.8151
0.64723,0.76303,0.52784,433.8969
0.66118,0.76779,0.54474,391.8602
0.67785,0.78164,0.5555,347.075
0.67066,0.78378,0.54299,404.8966
0.67066,0.78378,0.54299,376.1732
0.66269,0.77688,0.54264,415.729
0.65601,0.76612,0.53589,362.3923
0.64847,0.7568,0.53039,369.9591
0.64847,0.7568,0.53039,382.0303
0.65251,0.7611,0.53201,355.4207
0.65974,0.77169,0.53881,361.6418
0.65834,0.76703,0.53735,372.2388
0.65834,0.76703,0.53735,391.8568
0.66237,0.76938,0.53793,404.6893
0.66676,0.7706,0.54599,407.7184
0.66694,0.77239,0.53939,379.96
0.66694,0.77239,0.53939,367.7226
0.66227,0.78237,0.54381,390.6415
0.65475,0.77316,0.53957,395.7366
0.64602,0.75887,0.53244,399.3801
0.64602,0.75887,0.53244,370.4674
0.65108,0.76601,0.53756,378.2761
0.65011,0.76748,0.53133,388.9187
0.6542,0.76784,0.5347,364.8742
0.64748,0.76002,0.52261,368.4775
0.64748,0.76002,0.52261,343.3923
0.63369,0.75843,0.52076,367.7
0.64211,0.76429,0.52312,340.5724
0.64722,0.77123,0.53167,344.8266
0.64722,0.77123,0.53167,357.0804
0.65234,0.76698,0.53549,360.0187
0.64585,0.77651,0.52914,386.9514
0.64859,0.77332,0.52855,365.6693
0.64859,0.77332,0.52855,372.8033
0.64844,0.76736,0.53125,538.935
0.64424,0.77138,0.52612,512.8171
0.65924,0.77804,0.53332,370.7407
0.65924,0.77804,0.53332,372.1765
0.6499,0.76389,0.53116,361.596
0.6499,0.76389,0.53116,400.2544
0.65725,0.76467,0.54381,416.6147
0.66541,0.77269,0.55227,388.0944
0.66585,0.77075,0.54091,380.5019
0.66585,0.77075,0.54091,410.0315
0.65926,0.77153,0.53776,365.6865
0.65495,0.76864,0.52777,377.7287
0.64964,0.76563,0.5324,363.1245
0.64964,0.76563,0.5324,373.6902
0.65206,0.75986,0.53426,377.1267
0.65722,0.76843,0.53846,349.5842
0.65385,0.76678,0.5334,369.4396
0.65385,0.76678,0.5334,358.3638
0.65842,0.76021,0.53689,366.3148
0.65957,0.76007,0.54089,393.1124
0.65415,0.76646,0.53354,362.898
0.65415,0.76646,0.53354,359.5923
0.66037,0.77459,0.54485,406.4135
0.65544,0.77608,0.54381,361.6698
0.64461,0.76422,0.53626,360.9208
0.64461,0.76422,0.53626,346.0114
0.64596,0.76533,0.5346,364.3382
0.6482,0.7646,0.53182,375.397
0.65563,0.77153,0.53932,364.0014
0.64963,0.76801,0.52926,351.253
0.64963,0.76801,0.52926,381.7962
0.63255,0.76236,0.52212,420.9588
0.63778,0.75424,0.52116,343.2471
0.65161,0.76118,0.53379,365.5489
0.65161,0.76118,0.53379,382.7825
0.64712,0.76145,0.53572,359.6078
0.64587,0.76652,0.5246,382.4548
0.63616,0.77009,0.53137,357.1887
0.63616,0.77009,0.53137,352.4651
0.64575,0.76435,0.53247,458.7748
0.64074,0.76414,0.52748,435.823
0.65234,0.77336,0.52871,314.2802
0.65234,0.77336,0.52871,372.6736
0.6466,0.7678,0.53534,321.9536
0.6466,0.7678,0.53534,336.5506
0.65033,0.76831,0.54238,376.7796
0.6576,0.76891,0.54074,375.0679
0.66565,0.7681,0.535,370.962
0.66565,0.7681,0.535,393.5137
0.65552,0.77003,0.53381,373.2988
0.64487,0.76418,0.52871,386.3383
0.6459,0.76812,0.53556,352.4207
0.6459,0.76812,0.53556,387.3888
0.64254,0.76596,0.53882,379.028
0.65363,0.7688,0.54459,353.5342
0.64793,0.76498,0.53288,364.5571
0.64793,0.76498,0.53288,441.6792
0.64747,0.76081,0.53453,361.245
0.65248,0.76798,0.53707,395.2187
0.65174,0.76519,0.53223,359.8674
0.65174,0.76519,0.53223,342.5634
0.66224,0.77214,0.53516,378.614
0.64794,0.76624,0.53217,398.0053
0.63375,0.75252,0.5206,331.1089
0.63375,0.75252,0.5206,356.1248
0.63355,0.75879,0.51422,372.5592
0.63805,0.7599,0.51484,368.1976
0.64874,0.76343,0.52642,335.578
0.64148,0.76617,0.52264,366.3399
0.64148,0.76617,0.52264,342.3861
0.62437,0.75695,0.51394,375.2109
0.63203,0.75873,0.5157,359.8448
0.63934,0.76119,0.52354,330.7891
0.63934,0.76119,0.52354,312.736
0.635,0.75597,0.51858,393.1807
0.63051,0.75708,0.51139,325.543
0.61707,0.75649,0.50929,348.4947
0.61707,0.75649,0.50929,368.1232
0.63055,0.75625,0.51445,348.2602
0.62377,0.75515,0.51941,437.7391
0.62999,0.76424,0.51751,368.573
0.62999,0.76424,0.51751,375.8706
0.65338,0.76896,0.53918,368.9228
0.65338,0.76896,0.53918,380.1082
0.6467,0.76464,0.53516,405.7993
0.65244,0.76415,0.53432,422.8886
0.64997,0.76857,0.53032,378.1442
0.64997,0.76857,0.53032,407.318
0.64419,0.76941,0.52996,357.8574
0.63887,0.76367,0.52416,370.9064
0.64673,0.77043,0.52761,387.547
0.64673,0.77043,0.52761,358.9466
0.64716,0.77798,0.53666,333.278
0.66464,0.77758,0.54355,414.6182
0.65378,0.77085,0.52479,357.6753
0.65378,0.77085,0.52479,381.7666
0.6338,0.76544,0.52553,419.1257
0.64764,0.76909,0.52995,425.3817
0.64703,0.76594,0.52349,385.4998
0.64703,0.76594,0.52349,391.2611
0.65229,0.76969,0.53361,382.0526
0.6407,0.76166,0.52607,340.066
0.62539,0.75023,0.5132,379.4565
0.62539,0.75023,0.5132,336.5191
0.62015,0.75046,0.5091,359.6746
0.62905,0.75341,0.51281,342.933
0.63883,0.75741,0.52144,331.0604
0.6358,0.76549,0.51394,342.7027
0.6358,0.76549,0.51394,345.4974
0.62697,0.75462,0.51267,365.8972
0.62955,0.75845,0.51155,363.0182
0.62599,0.74978,0.51818,401.5741
0.62599,0.74978,0.51818,301.0433
0.61667,0.75566,0.51444,318.7734
0.62549,0.76041,0.51254,381.794
0.62094,0.75911,0.51007,315.2428
0.62094,0.75911,0.51007,355.9157
0.62154,0.75672,0.50968,512.5028
0.61945,0.7519,0.51751,518.8462
0.62813,0.75394,0.51916,344.7855
0.62813,0.75394,0.51916,312.6456
0.65703,0.7732,0.54756,612.1135
0.65703,0.7732,0.54756,397.9121
0.65071,0.76502,0.54029,445.8758
0.65079,0.76586,0.53814,473.7053
0.65338,0.77421,0.53443,401.8329
0.65338,0.77421,0.53443,357.3352
0.64519,0.77277,0.52996,395.1956
0.64477,0.7711,0.53325,376.18
0.65203,0.77464,0.53762,360.962
0.65203,0.77464,0.53762,391.0242
0.65477,0.77983,0.55256,367.8522
0.66343,0.77956,0.55302,405.859
0.65324,0.77242,0.53469,406.7524
0.65324,0.77242,0.53469,389.9843
0.63849,0.76464,0.53933,405.6399
0.64433,0.76612,0.53106,369.369
0.6528,0.78123,0.53529,412.1199
0.6528,0.78123,0.53529,392.2721
0.65559,0.77238,0.53255,363.8167
0.63492,0.76391,0.51949,391.1558
0.61487,0.74722,0.50426,339.1459
0.61487,0.74722,0.50426,386.0744
0.61891,0.74804,0.50208,392.6692
0.62528,0.75377,0.50414,355.2968
0.62994,0.75337,0.50707,361.2399
0.63702,0.76113,0.51344,373.736
0.63702,0.76113,0.51344,360.419
0.62549,0.74812,0.51104,344.556
0.6284,0.76032,0.51212,342.3701
0.62824,0.75245,0.51852,335.5722
0.62824,0.75245,0.51852,381.4957
0.63187,0.75568,0.51534,338.6651
0.63576,0.76103,0.51733,361.2233
0.62376,0.7533,0.50924,309.7016
0.62376,0.7533,0.50924,356.6312
0.61889,0.75192,0.50781,335.2746
0.6251,0.75947,0.5141,326.2032
0.63464,0.75591,0.51523,247.9414
0.65684,0.77202,0.54733,558.553
0.65684,0.77202,0.54733,487.0047
0.65548,0.76733,0.54336,417.4678
0.64986,0.76242,0.53585,422.8278
0.65215,0.76919,0.53574,375.2986
0.65215,0.76919,0.53574,378.6009
0.65193,0.77511,0.53033,382.3346
0.65387,0.77354,0.53471,348.1878
0.64923,0.77805,0.53702,472.6098
0.64923,0.77805,0.53702,389.2515
0.65273,0.77651,0.54952,430.3835
0.65989,0.7803,0.55151,425.3443
0.6564,0.77392,0.53921,327.6561
0.6564,0.77392,0.53921,362.284
0.64282,0.76836,0.53589,375.4475
0.64748,0.76527,0.53325,427.2544
0.65722,0.77542,0.53909,425.6154
0.65722,0.77542,0.53909,329.8057
0.65152,0.77557,0.52685,348.4583
0.6281,0.75593,0.51962,338.5611
0.60886,0.74799,0.50821,324.4036
0.62144,0.74903,0.50732,356.8238
0.62144,0.74903,0.50732,398.3694
0.61918,0.75151,0.50388,308.4858
0.63406,0.75173,0.50427,326.4165
0.63382,0.7494,0.51231,369.6513
0.63382,0.7494,0.51231,320.1038
0.61899,0.74871,0.50759,340.2906
0.61558,0.74833,0.50982,331.414
0.61668,0.74667,0.51059,339.2205
0.61668,0.74667,0.51059,328.5199
0.63404,0.76192,0.51521,330.0989
0.62416,0.75574,0.51093,377.1994
0.61774,0.75198,0.51246,339.4055
0.61774,0.75198,0.51246,359.7275
0.61899,0.75146,0.50794,323.5327
0.62521,0.75217,0.51423,298.0307
0.62759,0.75386,0.5171,291.6542
0.66021,0.77936,0.55119,579.1241
0.66021,0.77936,0.55119,380.7242
0.65809,0.78548,0.55865,433.4554
0.653,0.78047,0.55644,411.5957
0.65656,0.77548,0.55057,367.0554
0.65656,0.77548,0.55057,401.9687
0.65562,0.77103,0.54374,404.5573
